設問ID,大項目N,確認書類,枝番#,設問文,前提設問ID,ツール対象,表示順
書1-1,1,申請書（更新）,1,申請書（表裏）が提出されている,,○,10
書1-2,1,申請書（更新）,2,住所欄に手書きの修正がない,,○,20
書1-3,1,申請書（更新）,3,医療保険に関する事項に手書き修正がない,,○,30
書1-4,1,申請書（更新）,4,世帯状況の受給者番号に記入がない又は難病・小慢のいずれにも○がない,,○,40
書1-5,1,申請書（更新）,5,申請書の裏面に署名がある,,○,50
書2-1,2,臨床調査個人票又は緑紙,1,臨床調査個人票（又は緑紙)が提出されている,,×,60
書2-2,2,臨床調査個人票又は緑紙,2,申請書に印字の病名と一致している,,×,70
書2-3,2,臨床調査個人票又は緑紙,3,指定医番号の3桁目が【Ｃ・Ｓ・Ｔ・Ｐ】のいずれかである,,×,80
書3-1,3,医療保険資料,1,医療保険資料が提出されている 又は 国保/後期高齢システム画面で代用可,,○,90
書3-2,3,医療保険資料,2,医療保険資料の情報と申請書の医療保険に関する事項の情報が一致している,書3-1,○,100
書3-3,3,医療保険資料,3,申請時点で有効な保険である,書3-1,○,110
書4-1,4,自己負担上限額管理票又は領収書,1,自己負担上限額管理票（又は領収書）が提出されている,,○,120
書4-2,4,自己負担上限額管理票又は領収書,2,高額かつ長期に該当するか,書4-1,○,130
書4-3,4,自己負担上限額管理票又は領収書,3,軽症者特例に該当するか,書4-1,○,140
書4d-2,4´,自己負担上限額管理票（追加提出分）,2´,高額かつ長期に該当するか,書4-1,○,150
書4d-3,4´,自己負担上限額管理票（追加提出分）,3´,軽症者特例に該当するか,書4-1,○,160
書5-1,5,高長回数,1,現在、高長適用かつ一般所得Ⅰ以上で高長要件がひと月分不足している,,○,170
