書類ID,表示名,カテゴリ,表示順,仮登録,備考
未提出,（提出なし）,共通,1,,該当する書類が1点も提出されていない
資格確認書,資格確認書,医療保険,10,,マイナ保険証を持たない人に交付される。資格の証明
資格情報のお知らせ,資格情報のお知らせ,医療保険,11,,資格の証明
マイナポータル保険PDF,マイナポータルの医療保険情報のPDF印刷,医療保険,12,,資格の証明
システム画面,国保／後期高齢システム画面での代用,医療保険,13,,代用可否は設問文に定めあり。条件は要確定
旧被保険者証,（旧）健康保険被保険者証,医療保険,20,,廃止済み。紛らわしいので必ずカタログに載せる
高齢受給者証,高齢受給者証,医療保険,21,,負担割合の証明。資格の証明ではない
保険者医療費一覧,保険者が作成した医療費の一覧,医療保険,22,,医療費の記録。資格の証明ではない
管理票,自己負担上限額管理票,上限額管理票,30,,複数ページ・切り貼りの提出形態あり
領収書,領収書,上限額管理票,31,,管理票の代替として設問文に定めあり
マイナポータル医療費,マイナポータルからDLした保険者の医療費データ,上限額管理票,40,,保険診療全体の記録。公費適用分を特定できない
申請書,申請書（更新）,突合対象,50,,突合の基準候補
中サバ照会,中間サーバー照会結果,突合対象,51,,突合の基準候補
